competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,price,popularity
Now & Later,0,1,0,0,0,0,0,0,1,0.22,3.25,39.4468
Payday,0,0,0,1,1,0,0,1,0,0.465,7.67,46.296597
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,6.51,69.483788
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.23,37.722336
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,8.37,41.265511
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,1.16,37.348522
Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,2.79,81.866257
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,6.51,84.18029
Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,6.51,73.43499
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,6.51,72.887901
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,9.65,35.290756
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,8.6,65.716286
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.69,29.703691
Runts,0,1,0,0,0,0,1,0,1,0.87199998,2.79,42.849144
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.81,34.722
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,2.2,63.08514
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,2.2,55.103695
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,9.76,37.887188
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,1.16,45.995827
Snickers,1,0,1,1,1,0,0,1,0,0.546,6.51,76.673782
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,6.51,59.529251
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,1.16,59.863998
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,1.16,52.825947
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,2.2,67.037628
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.58,34.578991
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,7.67,33.43755
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,3.25,32.230995
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,1.16,27.303865
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,7.55,54.861111
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,3.25,48.982651
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,5.11,43.068897
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.11,45.736748
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,3.25,49.653503
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,2.55,47.173229
Twix,1,0,1,0,0,1,0,1,0,0.546,9.06,81.642914
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,1.16,45.466282
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,1.16,39.011898
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,3.13,44.375519
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,2.67,41.904308
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,8.48,49.524113
